name,location,description,category,historical_period,latitude,longitude,keywords,tourism_season,avg_visit_time,popularity_level,fun_fact,source,pop_num,is_spring,is_summer,is_autumn,is_winter,era_group,region,multiverse_categories,visit_time_num
Tvrđava Novi Grad,novi grad,A 19th-century fortress on the banks of the Una and Sana rivers.,fortress,Austro-Hungarian,45.0458,16.375,"castle, Una, border, defense",All year,1 hour,B,The fortress marks the historic border point between the Ottoman and Austro-Hungarian empires.,"https://en.wikipedia.org/wiki/Novi_Grad,_Bosnia_and_Herzegovina",2,1,1,1,1,Modern,Krajina,['fortress'],1.0
Franciscan Monastery Plehan,derventa,"A modern monastery built on the ruins of one destroyed in 1992, featuring contemporary art.",religious,Modern,44.9167,17.9833,"monastery, art, modern, Catholic, history",All year,1 hour,C,The monastery is known as the 'Religious Art Center' due to its vast collection of modern sculptures.,https://en.wikipedia.org/wiki/Plehan,1,1,1,1,1,Modern,Northern Bosnia,"['religious', 'history']",1.0
Stara Čaršija u Gradačcu,gradačac,"The old commercial heart of Gradačac, centered around the Captain’s castle.",urban heritage,Ottoman,44.8817,18.4303,"market, Gradačac, history, bazaar",All year,1 hour,B,The area still maintains the traditional 'čardak' style houses typical of northern Bosnia.,https://en.wikipedia.org/wiki/Gradačac,2,1,1,1,1,Ottoman,Northern Bosnia,"['urban heritage', 'history']",1.0
Roman Mosaic at Skelani,srebrenica/skelani,"Extensive archaeological excavations of a major 4th-century Roman administrative center, showcasing some of the best-preserved floor mosaics in the region.",archaeological,Roman,43.9789,19.5167,"Roman, mosaic, archaeology, Srebrenica, Skelani, ancient, palace, ruins, Drina",Spring-Summer,1.5 hours,C,"Discovered recently in 2008, the complex includes remains of a Roman villa rustica and a imperial basilica boasting magnificent geometric colored artwork floors.",https://en.wikipedia.org/wiki/Skelani,1,1,1,0,0,Ancient,Eastern Bosnia,"['archaeological', 'history']",1.5
Fortress of Orašac,bihać/orašac,A small but strategically vital Ottoman-era fortress overlooking the Una river.,fortress,Ottoman,44.6292,16.0714,"castle, Una, Bihać, history",Spring-Autumn,45 min,C,The fortress was part of the westernmost defensive ring of the Ottoman Empire.,"https://en.wikipedia.org/wiki/Orašac,_Bihać",1,1,1,1,0,Ottoman,Krajina,"['fortress', 'history']",0.75
Svrzo's House Annex,sarajevo,A separate wing of the famous Svrzo's house that served as the business quarters.,museum,Ottoman,43.8617,18.4303,"house, business, history, Sarajevo",All year,30 min,B,It demonstrates how 18th-century Bosnian merchants separated their family life from their commercial deals.,https://en.wikipedia.org/wiki/Svrzo's_House,2,1,1,1,1,Ottoman,Sarajevo Region,"['museum', 'history']",0.5
Kuršumlija Madrasa,sarajevo,"A 16th-century high school for Islamic studies, known for its lead-covered domes.",monument,Ottoman,43.8592,18.4294,"school, education, architecture, Sarajevo",All year,30 min,B,"The name 'Kuršumlija' comes from the Turkish word for lead (kurşun), which covers the roof.",https://en.wikipedia.org/wiki/Gazi_Husrev-beg_Madrasa,2,1,1,1,1,Ottoman,Sarajevo Region,['monument'],0.5
Old Town of Visoko (Čajangrad),visoko,The ruins of a medieval fortress that guarded the central Bosnian trade routes.,fortress,Medieval,43.9917,18.175,"castle, ruins, Visoko, kings",Spring-Autumn,1.5 hours,C,It was one of the many fortifications that formed the defense system for the royal court in Moštre.,https://en.wikipedia.org/wiki/Visoko,1,1,1,1,0,Medieval,Central Bosnia,['fortress'],1.5
Bridge on the Žepa River,rogatica,"An Ottoman stone bridge, famously described in a short story by Ivo Andrić.",monument,Ottoman,43.9511,19.1306,"bridge, literature, Drina, history",Summer,45 min,C,The bridge was relocated in 1966 due to the construction of a hydroelectric power plant on the Drina.,https://en.wikipedia.org/wiki/Bridge_on_Žepa,1,0,1,0,0,Ottoman,Eastern Bosnia,"['monument', 'history']",0.75
Fortress of Krupa na Uni,bosanska krupa,"A fortress situated on a small island in the Una river, integrated into the town.",fortress,Medieval/Ottoman,44.8828,16.1517,"castle, river, Una, Bihać",All year,1 hour,B,The fortress walls are so close to the water that they appear to rise directly out of the Una river.,https://en.wikipedia.org/wiki/Bosanska_Krupa,2,1,1,1,1,Multi-Era,Krajina,"['fortress', 'nature']",1.0
Sarajevo Clock Tower (Sahat-kula),sarajevo,The only public clock in the world that keeps lunar time (a la turca).,monument,Ottoman,43.8592,18.4292,"clock tower, time, Sarajevo, landmark",All year,15 min,A,The clock is set to strike 12:00 exactly at sunset to mark the time for evening prayers.,https://en.wikipedia.org/wiki/Sarajevo_Clock_Tower,3,1,1,1,1,Ottoman,Sarajevo Region,"['monument', 'fortress']",0.25
Vareš Old Church of St. Michael,vareš,The oldest Catholic church in Bosnia that was never converted or destroyed throughout Ottoman rule.,religious,Ottoman,44.1644,18.3289,"church, history, Vareš, Catholic",All year,45 min,C,The church is built of stone and wood and looks more like a traditional house to avoid attracting attention.,http://kons.gov.ba/,1,1,1,1,1,Ottoman,Central Bosnia,"['religious', 'history']",0.75
Stećci Necropolis Grebnice,stolac/bunčići,A necropolis located on a ridge with tombstones featuring unique cross and shield reliefs.,monument,Medieval,43.0583,18.0667,"stećci, UNESCO, Stolac, history",Spring-Autumn,1 hour,C,"It is part of the high-concentration area of stećci around Stolac, a hotspot for medieval archeology.",https://whc.unesco.org/en/list/1504,1,1,1,1,0,Medieval,Herzegovina,"['monument', 'history']",1.0
Fortress of Livno (Bistrica),livno,"A fortification complex above the source of the river Bistrica, known as 'Vejs Kula'.",fortress,Ottoman,43.8306,17.0117,"castle, Livno, view, history",Spring-Summer,1 hour,C,The fortress once housed a massive grain storage to feed the border garrisons.,https://en.wikipedia.org/wiki/Livno,1,1,1,0,0,Ottoman,Central Bosnia,"['fortress', 'history']",1.0
Museum of the Franciscan Monastery Gorica,livno,A museum housing an ethnological collection and works by the painter Gabriel Jurkić.,museum,Austro-Hungarian,43.825,17.025,"monastery, art, history, Livno",All year,1.5 hours,B,It contains one of the best-preserved collections of traditional folk costumes from western Bosnia.,https://en.wikipedia.org/wiki/Gorica_Monastery,2,1,1,1,1,Modern,Central Bosnia,"['museum', 'history', 'religious']",1.5
Old Mosque in Pliva,jajce/pliva,A rare wooden mosque built in a style unique to the forest regions of Bosnia.,religious,Ottoman,44.3456,17.2111,"mosque, wood, Jajce, tradition",All year,30 min,C,"The mosque's minaret is made entirely of wood, using no metal nails in its original construction.",http://kons.gov.ba/,1,1,1,1,1,Ottoman,Central Bosnia,['religious'],0.5
Fortress of Gradina (Cazin),cazin,A medieval fortress that was once the seat of the Bishops of Knin.,fortress,Medieval,44.9667,15.9333,"castle, Cazin, history, defense",Spring-Autumn,1 hour,C,The fortress was a key northern defense point before the Ottoman conquest of Bihać.,https://en.wikipedia.org/wiki/Cazin,1,1,1,1,0,Medieval,Krajina,"['fortress', 'history']",1.0
Museum of the Battle for the Wounded,jablanica,"A museum dedicated to the Battle of the Neretva, featuring a collapsed bridge in the river.",monument,Yugoslavia,43.6603,17.7619,"WWII, Tito, partisans, Neretva, bridge",All year,2 hours,A,The collapsed bridge in the river was actually blown up twice—once during the war and once for a 1969 film.,https://en.wikipedia.org/wiki/Jablanica,3,1,1,1,1,Modern,Herzegovina,['monument'],2.0
Gornji Grad Fortress,gračanica,"A medieval fortress guarding the Spreča valley, later expanded by the Ottomans.",fortress,Medieval/Ottoman,44.7042,18.3125,"castle, Gračanica, defense, history",Spring-Autumn,1 hour,C,The fortress offers a view of the entire industrial basin of northern Bosnia.,https://en.wikipedia.org/wiki/Gračanica,1,1,1,1,0,Multi-Era,Northern Bosnia,"['fortress', 'history']",1.0
Gradina in Gornji Pale,pale,The remains of a medieval fortified residence of the Pavlović noble family.,monument,Medieval,43.8111,18.5667,"noble, ruins, Pale, Pavlovići",Spring-Summer,1 hour,C,It was one of the key defensive points protecting the road to the royal city of Bobovac.,http://kons.gov.ba/,1,1,1,0,0,Medieval,Central Bosnia,['monument'],1.0
Monastery of St. Nicholas,ozren,A 14th-century Serbian Orthodox monastery known for its unique fresco paintings.,religious,Medieval,44.5942,18.3242,"monastery, Orthodox, frescoes, Ozren",All year,1.5 hours,B,The monastery was a major center for copying manuscripts during the Ottoman period.,https://en.wikipedia.org/wiki/Ozren_Monastery,2,1,1,1,1,Medieval,Central Bosnia,['religious'],1.5
Old Mosque in Šerići,živinice,"A rare example of a wooden mosque with a porch and a wooden minaret, preserved in its original form.",religious,Ottoman,44.4789,18.5233,"mosque, wood, architecture, Živinice",All year,30 min,C,It is one of the few wooden mosques in the Tuzla region that survived the wars of the 20th century.,http://kons.gov.ba/,1,1,1,1,1,Ottoman,Central Bosnia,['religious'],0.5
Fortress of Teočak,teočak,A medieval fortress famous for its 'Old Town' and the mosque of Fethija built within its walls.,fortress,Medieval/Ottoman,44.6025,18.8892,"castle, Teočak, border, history",Spring-Autumn,1 hour,C,"The fortress was the seat of the Hungarian puppet-king of Bosnia, Nikola Iločki.",https://en.wikipedia.org/wiki/Teočak,1,1,1,1,0,Multi-Era,Northern Bosnia,"['fortress', 'history']",1.0
St. Anne's Church,gomionica,A historic monastery church located in the picturesque valley of the Gomionica river.,religious,Medieval,44.7233,16.9125,"church, monastery, nature, Banja Luka",All year,1 hour,B,"Petar Kočić, a famous Bosnian writer, spent part of his childhood in this monastery.",https://en.wikipedia.org/wiki/Gomionica_Monastery,2,1,1,1,1,Medieval,Northern Bosnia,"['religious', 'nature']",1.0
Roman Military Camp Castrum,doboj,Archeological remains of a Roman military camp that later became the foundation for Doboj fortress.,archaeological,Roman,44.7331,18.0897,"Roman, castrum, archeology, Doboj",Spring-Autumn,45 min,C,It served as a major logistics hub for Roman troops moving toward the Danube.,https://en.wikipedia.org/wiki/Doboj_Fortress,1,1,1,1,0,Ancient,Northern Bosnia,"['archaeological', 'history']",0.75
Old Town of Ključ,ključ,"The fortress where the last Bosnian king, Stjepan Tomašević, was captured by the Ottomans.",fortress,Medieval,44.5317,16.7725,"castle, kings, history, Ključ, Una",Spring-Autumn,1.5 hours,B,The capture of this fortress in 1463 marked the official fall of the Bosnian Kingdom.,https://en.wikipedia.org/wiki/Ključ_Fortress,2,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",1.5
Bijela Mosque in Brčko,brčko,"A beautiful 19th-century mosque located in the center of Brčko, featuring distinct white walls.",religious,Austro-Hungarian,44.8767,18.8111,"mosque, Brčko, architecture, city center",All year,30 min,B,It is the oldest mosque in the city and a symbol of the multicultural spirit of Brčko.,https://en.wikipedia.org/wiki/Brčko,2,1,1,1,1,Modern,Northern Bosnia,['religious'],0.5
Mijats Cave (Mijatova Pecina),blidinje/tomislavgrad,A high-altitude cave hidden on the cliffs of Mount Vran where the legendary hajduk outlaw leader Mijat Tomic historically gathered his defense band.,nature,Ottoman,43.6644,17.5147,"outlaw, hajduk, legend, cave, Vran, mountain, hiking, Blidinje, nature",Spring-Autumn,2 hours,C,"Mijat Tomic is a celebrated figure in traditional folk songs, remembered as a legendary local protector of the poor across the highlands.",https://en.wikipedia.org/wiki/Mijat_Tomić,1,1,1,1,0,Ottoman,Herzegovina,['nature'],2.0
Old Town of Kozarac,prijedor/kozarac,A renovated Ottoman-era fortress at the foot of the Kozara Mountain.,fortress,Ottoman,44.9694,16.8406,"castle, Kozarac, history, views",All year,1 hour,B,The town was once a significant administrative center of the Turkish captaincy.,https://en.wikipedia.org,2,1,1,1,1,Ottoman,Northern Bosnia,"['fortress', 'history']",1.0
Church of the Assumption of the Virgin Mary,sanski most,A historic Catholic church that stands as a landmark of the city’s skyline.,religious,Austro-Hungarian,44.7667,16.6667,"church, Sanski Most, history, Catholic",All year,30 min,C,The church features beautiful architectural details and is a key symbol of the city's multicultural heritage.,https://en.wikipedia.org,1,1,1,1,1,Modern,Northern Bosnia,"['religious', 'history']",0.5
Fortress of Vrnograč,velika kladuša,"A small, strategic medieval fort located on the border between Bosnia and Croatia.",fortress,Medieval,45.1611,15.9556,"castle, border, history, Kladuša",Spring-Summer,1 hour,C,It was part of the 'Captaincy of the Una' defensive line against the Habsburg Empire.,https://en.wikipedia.org/wiki/Vrnograč_Castle,1,1,1,0,0,Medieval,Krajina,"['fortress', 'history']",1.0
Kuvet-ul-Islam Mosque,zvornik,"A central mosque in Zvornik, rebuilt after the war, representing the resilience of the local community.",religious,Modern,44.3856,19.1025,"mosque, Zvornik, Drina, history",All year,30 min,B,"The mosque is situated right on the bank of the Drina river, overlooking the border with Serbia.",https://en.wikipedia.org/wiki/Zvornik,2,1,1,1,1,Modern,Eastern Bosnia,"['religious', 'history']",0.5
Stari Grad Visoki,visoko,"The ruins of the medieval royal city of Visoki, located on top of the Visočica hill.",fortress,Medieval,43.9833,18.1758,"castle, kings, history, Visoko, archeology",Spring-Autumn,1.5 hours,B,The charter of the Bosnian State was signed here by King Tvrtko I in 1355.,https://en.wikipedia.org/wiki/Visoki,2,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history', 'archaeological']",1.5
Monastery of Tavna,bijeljina,A 14th-century monastery located at the confluence of the rivers Tavna and Drina.,religious,Medieval,44.6125,19.1125,"monastery, Orthodox, nature, history",All year,1.5 hours,B,"The monastery is famous for its architecture, which resembles the style of the famous Studenica monastery in Serbia.",https://en.wikipedia.org/wiki/Tavna_Monastery,2,1,1,1,1,Medieval,Northern Bosnia,"['religious', 'history', 'nature']",1.5
Old Bridge in Klepci,čapljina,"The oldest Ottoman bridge in Herzegovina, predating the Stari Most in Mostar.",monument,Ottoman,43.1025,17.7242,"bridge, Čapljina, history, architecture",All year,30 min,C,It was built in 1517 by Mustafa-bey and served as the main crossing for caravans toward the coast.,http://kons.gov.ba/,1,1,1,1,1,Ottoman,Herzegovina,"['monument', 'history']",0.5
Fortress of Klobuk,trebinje,"A remote fortress located on a cliff, one of the last strongholds of the Bosnian state.",fortress,Medieval/Ottoman,42.7217,18.5556,"castle, cliff, Trebinje, remote",Spring-Autumn,2 hours,C,Klobuk was notoriously difficult to conquer due to its position on a 200m vertical drop.,https://en.wikipedia.org/wiki/Klobuk_Fortress,1,1,1,1,0,Multi-Era,Herzegovina,['fortress'],2.0
St. George’s Church in Sopotnica,goražde,"The site of the first printing house in Bosnia and Herzegovina, founded in 1519.",religious,Medieval,43.6825,19.0067,"church, printing, history, Goražde",All year,1 hour,B,The Goražde printing house produced liturgical books that are now kept in museums across the world.,https://en.wikipedia.org/wiki/Sopotnica_Church,2,1,1,1,1,Medieval,Herzegovina,"['religious', 'history']",1.0
Fortress of Sokol u Usori,doboj/usora,A medieval fortress that once belonged to the local ban and noble families.,fortress,Medieval,44.7083,18.0025,"castle, Usora, history, defense",Spring-Summer,1 hour,C,It was part of the 'Lower Lands' (Donji Kraji) defense system in medieval Bosnia.,https://en.wikipedia.org/wiki/Usora,1,1,1,0,0,Medieval,Northern Bosnia,"['fortress', 'history']",1.0
Neum Beach & Coast,neum,"Bosnia and Herzegovina's only coastal town on the Adriatic Sea. It features pebble beaches, clear blue water, and a Mediterranean climate perfect for summer holidays.",nature,Modern,42.9231,17.6158,"sea, beach, swimming, Adriatic, coast, sun, Mediterranean",Summer,Full Day,A,"Neum is the only exit of Bosnia and Herzegovina to the Adriatic Sea, dividing the Croatian coast into two parts.",https://en.wikipedia.org/wiki/Neum,3,0,1,0,0,Modern,Herzegovina,['nature'],1.0
Thermal Riviera Ilidža,sarajevo (ilidža),"The largest thermal water park in the region, featuring indoor and outdoor pools, water slides, and wellness facilities powered by natural thermal springs.",urban heritage,Modern,43.8305,18.3112,"swimming, pools, water park, thermal, slides, kids, fun",All year,3-4 hours,A,The thermal waters of Ilidža have been used for healing and relaxation since the Roman times.,https://www.termalna-rivijera.ba,3,1,1,1,1,Modern,Sarajevo Region,['urban heritage'],3.5
Vrelo Bune,blagaj,"One of the largest and most beautiful karst springs in Europe, located next to a historic Dervish monastery. The icy cold water is stunningly clear.",religious,Ottoman,43.2569,17.8941,"spring, river, Buna, monastery, dervish, nature, cold water",Spring-Summer,1-2 hours,A,"The spring flows out of a 200-meter deep cave, producing 43,000 liters of water per second.",https://en.wikipedia.org/wiki/Vrelo_Bune,3,1,1,0,0,Ottoman,Herzegovina,"['religious', 'nature']",1.5
Panonska Jezera (Pannonian Lakes),tuzla,"Saltwater lakes located in the center of Tuzla, created from ancient underground salt deposits. It is the only salt lake park in Europe.",nature,Modern,44.5391,18.6756,"salt lake, swimming, Tuzla, beach, summer, health",Summer,3-5 hours,A,The lakes contain medicinal salt minerals and attract hundreds of thousands of visitors every summer.,https://en.wikipedia.org/wiki/Pannonian_Lakes,3,0,1,0,0,Modern,Central Bosnia,['nature'],4.0
Strbački Buk Waterfall,una national park,"The most spectacular waterfall on the Una river, located on the border with Croatia. Famous for rafting and untouched nature.",nature,Geological,44.6569,16.0125,"waterfall, rafting, Una, river, nature, swimming, canyon",Spring-Autumn,3-4 hours,B,The Una river is named after the Latin word 'Una' meaning 'The One' or 'Unique' because of its beauty.,https://en.wikipedia.org/wiki/Una_National_Park,2,1,1,1,0,Other,Krajina,['nature'],3.5
Jahorina Olympic Mountain,pale (near sarajevo),"A premier ski resort and host of the 1984 Winter Olympics. It offers high-quality alpine skiing, snowboarding, and hiking trails in the summer.",nature,Modern,43.7336,18.5634,"skiing, snow, olympics, mountains, hiking, winter sports",Winter-Spring,Full Day,A,Jahorina hosted the women's alpine skiing events during the 1984 Winter Olympics.,https://en.wikipedia.org/wiki/Jahorina,3,1,0,0,1,Modern,Central Bosnia,['nature'],1.0
Bjelašnica Mountain,sarajevo,"The highest ski resort in Bosnia, known for its steep slopes and the famous Olympic downhill track. It is a center for winter sports and mountain biking.",nature,Modern,43.7022,18.2567,"skiing, downhill, mountains, cold, wind, winter, mountain biking",Winter-Spring,Full Day,A,Bjelašnica is known as the 'Silver Mountain' and has some of the most challenging ski trails in the Balkans.,https://en.wikipedia.org/wiki/Bjelašnica,3,1,0,0,1,Modern,Central Bosnia,['nature'],1.0
Vlašić Mountain,travnik,"Located in central Bosnia, this mountain is famous for its distinct hospitality, Babanovac ski center, and the production of the famous Vlašić cheese.",nature,Medieval/Modern,44.2917,17.6167,"skiing, cheese, Vlasic, mountains, Babanovac, winter, nature",Winter-Spring,Full Day,B,The mountain is a major center for 'village tourism' and is famous for its nomadic sheep herding traditions.,https://en.wikipedia.org/wiki/Vlašić_Mountain,2,1,0,0,1,Multi-Era,Central Bosnia,['nature'],1.0
Kravica Waterfall,ljubuški,"A large tufa cascade on the Trebižat River, often called the 'Niagara of Herzegovina'. A stunning natural amphitheater perfect for swimming.",nature,Geological,43.1581,17.6083,"waterfall, nature, swimming, Herzegovina, Trebizat, canyon",Summer,2-4 hours,A,"During the summer, the mist from the waterfalls creates a natural air-conditioning effect for visitors.",https://en.wikipedia.org/wiki/Kravica_Waterfall,3,0,1,0,0,Other,Herzegovina,['nature'],3.0
Pliva Lakes and Watermills,jajce,A collection of small wooden watermills from the Ottoman period located between the Great and Small Pliva Lakes.,nature,Ottoman,44.3444,17.2247,"watermills, lakes, Jajce, tradition, wood, nature, history",Spring-Autumn,2 hours,B,These mills were used to grind wheat for centuries and are built without a single iron nail.,https://en.wikipedia.org/wiki/Pliva_Lakes,2,1,1,1,0,Ottoman,Central Bosnia,"['nature', 'history']",2.0
Necropolis of Stećci in Bečani,šekovići,A UNESCO-listed necropolis featuring uniquely tall and decorated medieval tombstones.,monument,Medieval,44.2989,18.8356,"stećci, UNESCO, Šekovići, history",Spring-Autumn,1 hour,C,The site is surrounded by pristine nature in the mountainous region of Eastern Bosnia.,https://whc.unesco.org/en/list/1504,1,1,1,1,0,Medieval,Eastern Bosnia,"['monument', 'history']",1.0
Fortress of Novi Grad (Derventa),derventa,The ruins of a late medieval and Ottoman fortress on the Ukrina river.,fortress,Medieval/Ottoman,44.9789,17.9078,"castle, river, Derventa, history",Spring-Autumn,1 hour,C,The fortress controlled the river trade routes between the Sava river and the Bosnian interior.,https://en.wikipedia.org/wiki/Derventa,1,1,1,1,0,Multi-Era,Northern Bosnia,"['fortress', 'history', 'nature']",1.0
Spomenik Krila Slobode (Žuč),sarajevo/velešići,A massive memorial monument on Žuč hill dedicated to the defenders of Sarajevo during the 1990s siege.,monument,Modern,43.8764,18.3683,"war, defense, wings, Žuč, Sarajevo, viewpoint",All year,1 hour,B,"The monument symbolizes the breakthrough and freedom of the city, offering a 360-degree view of Sarajevo.",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.tourismbih.com/location/spomenik-krila-slobode/&ved=2ahUKEwiZx4KYwq6VAxVmiP0HHcIuJGsQFnoECFkQAQ&usg=AOvVaw1yWHkXEBL2D_tMxv3_2xW1,2,1,1,1,1,Modern,Sarajevo Region,"['monument', 'history']",1.0
Mount Žuč,sarajevo,"A strategic hill and a site of key battles during the Siege of Sarajevo, now a memorial park.",archaeological,Modern,43.878,18.365,"history, war, hiking, Sarajevo, Žuč",All year,2 hours,B,The area is being transformed into a large memorial and recreational park with museums and trenches.,https://sarajevo.ba,2,1,1,1,1,Modern,Sarajevo Region,"['archaeological', 'history']",2.0
Sarajevo Cable Car (Žičara),sarajevo,A modern cable car connecting the old town (Bistrik) with the Trebević mountain.,other heritage/leisure,Modern,43.8547,18.4356,"viewpoint, cable car, Trebević, Sarajevo, panoramic",All year,15 min,A,"The original cable car was built in 1959, destroyed during the war, and reopened as a brand new system in 2018.",https://zicara.ba,3,1,1,1,1,Modern,Sarajevo Region,['other heritage/leisure'],0.25
Trebević Bobsleigh Track,sarajevo,The remains of the bobsleigh and luge track built for the 1984 Winter Olympics.,monument,Yugoslavia,43.8439,18.4419,"Olympics, bobsleigh, ruins, graffiti, Trebević",All year,1.5 hours,A,The track is now a world-famous spot for graffiti artists and extreme sports like downhill mountain biking.,https://en.wikipedia.org/wiki/Sarajevo_Olympic_Bobsleigh_and_Luge_Track,3,1,1,1,1,Modern,Sarajevo Region,['monument'],1.5
Mount Trebević,sarajevo,"A mountain overlooking Sarajevo, known as the 'lungs of the city,' offering hiking trails and viewpoints.",nature,Modern,43.8361,18.4556,"nature, hiking, mountain, viewpoint, Sarajevo",All year,3-4 hours,A,"During the 1984 Olympics, it hosted several alpine and sliding competitions.",https://en.wikipedia.org/wiki/Trebevi%C4%87,3,1,1,1,1,Modern,Central Bosnia,['nature'],3.5
Mila Necropolis,visoko/arnautovići,The coronation and burial site of Bosnian kings and the location of the first Bosnian Parliament.,monument,Medieval,43.9986,18.1408,"kings, coronation, history, Visoko, Parliament",All year,45 min,A,This is where King Tvrtko I was crowned in 1377 and where the Charter of King Stephen Ostoja was signed in 1404.,https://en.wikipedia.org,3,1,1,1,1,Medieval,Central Bosnia,"['monument', 'history']",0.75
Lukin Mlin (Lukes Mill),zepce,"A rare preserved watermill on the Bosna river that has been operational for over a century, representing the rural industrial heritage of central Bosnia.",traditional village,Modern,44.4258,18.0375,"mill, river, tradition, Zepce, watermill, grain, heritage, craft",Spring-Autumn,30 min,C,"The mill still uses traditional stone grinding methods to produce organic flour, maintaining a 100-year-old family tradition.",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://seesrpska.com/en/lukin-mlin-zaduzbina-na-ognjistu-u-dolini-japre&ved=2ahUKEwiQqYjRwq6VAxVvwAIHHWWdPO8QFnoECCoQAQ&usg=AOvVaw1W8LSdM7MNjunZhJ4AwWhS,1,1,1,1,0,Modern,Central Bosnia,"['traditional village', 'history', 'nature']",0.5
Gradina Fortress,pale,The ruins of a medieval fortress that served as the residence of the noble Pavlović family.,fortress,Medieval,43.8167,18.5667,"castle, Pavlović, ruins, Pale, history",Spring-Autumn,1 hour,C,The fortress controlled the 'Carski put' (Imperial Road) that connected Sarajevo with Constantinople during the Ottoman era.,https://en.wikipedia.org,1,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",1.0
Franciscan Monastery of St. Catherine,kreševo,A 14th-century monastery famous for its museum and the tradition of horseshoeing eggs.,religious,Medieval,43.8647,18.0461,"monastery, museum, tradition, Kreševo",All year,1.5 hours,B,The museum holds a unique collection of minerals and the famous 'horseshoed egg' - a symbol of blacksmith skill.,https://en.wikipedia.org,2,1,1,1,1,Medieval,Central Bosnia,"['religious', 'museum']",1.5
Pavlović Castle (Borač),rogatica,"The remains of one of the largest medieval fortified cities in Bosnia, the seat of the Pavlović family.",fortress,Medieval,43.7431,18.9667,"castle, Pavlović, ruins, Rogatica",Spring-Summer,2 hours,C,The fortress had 11 towers and was one of the most important administrative centers of medieval Bosnia.,https://en.wikipedia.org,1,1,1,0,0,Medieval,Eastern Bosnia,['fortress'],2.0
Savić House,banja luka,"The oldest preserved urban house in Banja Luka, representing 19th-century architecture.",monument,Ottoman/Austro-Hungarian,44.7711,17.1894,"house, Banja Luka, history, architecture",All year,30 min,C,The house is a rare example of how the wealthy merchant families of Banja Luka lived 150 years ago.,http://kons.gov.ba,1,1,1,1,1,Multi-Era,Northern Bosnia,"['monument', 'history']",0.5
Olovo City Museum,olovo,A local museum showcasing the rich mining history and medieval heritage of the Olovo region.,museum,Medieval/Modern,44.1286,18.5814,"history, mining, Olovo, heritage",All year,1 hour,C,"Olovo was one of the most important lead mining centers in the medieval Balkans, giving the town its name.",https://en.wikipedia.org,1,1,1,1,1,Multi-Era,Central Bosnia,"['museum', 'history']",1.0
Fortica Mostar,mostar,"A skywalk and adventure park on a hill above Mostar, featuring a giant national flag.",nature,Modern,43.3339,17.8389,"skywalk, zipline, Mostar, view, flag",All year,1.5 hours,A,The 35-meter long glass skywalk offers a terrifyingly beautiful view of the city and the Old Bridge.,https://visitmostar.ba,3,1,1,1,1,Modern,Herzegovina,['nature'],1.5
Makljen Spite Monument (The Fist),prozor-rama,The remains of a massive monument 'Poet of the Revolution' on the Makljen pass.,monument,Yugoslavia,43.8475,17.5947,"spomenik, brutalism, Makljen, Tito, ruins",All year,30 min,C,"Although blown up in 2000, its skeletal concrete frame remains a hauntingly striking landmark.",https://www.spomenikdatabase.org/sorting-directoryg,1,1,1,1,1,Modern,Central Bosnia,['monument'],0.5
Smrike Necropolis,novi travnik,"A unique memorial complex dedicated to WWII victims, designed by Bogdan Bogdanović.",monument,Yugoslavia,44.1558,17.6536,"spomenik, brutalism, Novi Travnik, Bogdanović",All year,1 hour,C,"The site features 12 stone 'guardians' with bird-like eyes, typical of Bogdanović's surrealist style.",https://www.spomenikdatabase.org/sorting-directory,1,1,1,1,1,Modern,Central Bosnia,['monument'],1.0
Garavice Memorial Park,bihać,A sprawling memorial site on a hill dedicated to the victims of fascist terror in WWII.,monument,Yugoslavia,44.8211,15.8456,"spomenik, Bihać, WWII, memorial",All year,1 hour,B,"The park consists of 15 massive stone pillars designed by Bogdan Bogdanović in a mystical, organic style.",https://www.spomenikdatabase.org/sorting-directory,2,1,1,1,1,Modern,Krajina,['monument'],1.0
Ravna Planina Resort,pale,"A modern four-season mountain resort with a ski slope, a gondola lift, and an artificial lake for recreational activities.",nature,Modern,43.8056,18.5758,"ski, gondola, Pale, nature, lake, viewpoint",All year,3-5 hours,B,The newly built gondola provides a seamless panoramic connection between the base of the mountain and the top station's lake area.,https://ski-rp.com,2,1,1,1,1,Modern,Central Bosnia,['nature'],4.0
Svetište Gospe Olovske,olovo,"The oldest Marian shrine in the Balkans, a place of pilgrimage for over seven centuries.",religious,Medieval,44.1271,18.5791,"pilgrimage, history, Catholic, Olovo, sanctuary",All year,1 hour,A,It is mentioned in Dubrovnik records as early as 1375 and is visited by people of all faiths.,https://en.wikipedia.org,3,1,1,1,1,Medieval,Central Bosnia,"['religious', 'history']",1.0
Banja Aquaterm,olovo,A modern medical spa center using healing thermo-mineral waters for rehabilitation.,nature,Modern,44.1293,18.5828,"spa, healing, thermal water, Olovo",All year,2 hours,B,The thermal water springs at a constant 34°C and is unique for its chemical composition in the region.,https://aquaterm.olovo.ba/,2,1,1,1,1,Modern,Central Bosnia,['nature'],2.0
